,mapping_framework,mapping_framework_version,capability_group,capability_id,capability_description,mapping_type,attack_object_id,attack_object_name,attack_version,technology_domain,score_category,score_value,related_score,references,comments,organization,creation_date,last_update
0,veris,1.4.0,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1001,Data Obfuscation,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
1,veris,1.4.0,action.hacking,action.hacking.variety.Other,Other,related-to,T1001,Data Obfuscation,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
2,veris,1.4.0,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1001.001,Data Obfuscation: Junk Data,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
3,veris,1.4.0,action.hacking,action.hacking.variety.Other,Other,related-to,T1001.001,Data Obfuscation: Junk Data,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
4,veris,1.4.0,action.malware,action.malware.variety.Backdoor or C2,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1001.001,Data Obfuscation: Junk Data,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
5,veris,1.4.0,action.malware,action.malware.variety.C2,Malware creates Command and Control capability for malware. Child of 'Backdoor or C2'.,related-to,T1001.001,Data Obfuscation: Junk Data,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
6,veris,1.4.0,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1001.002,Data Obfuscation: Steganography,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
7,veris,1.4.0,action.hacking,action.hacking.variety.Other,Other,related-to,T1001.002,Data Obfuscation: Steganography,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
8,veris,1.4.0,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1001.003,Data Obfuscation: Protocol Impersonation,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
9,veris,1.4.0,action.hacking,action.hacking.variety.Other,Other,related-to,T1001.003,Data Obfuscation: Protocol Impersonation,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
10,veris,1.4.0,action.malware,action.malware.variety.Password dumper,Password dumper (extract credential hashes),related-to,T1003,OS Credential Dumping,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
11,veris,1.4.0,attribute.confidentiality,attribute.confidentiality.data_disclosure,,related-to,T1003,OS Credential Dumping,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
12,veris,1.4.0,action.malware,action.malware.variety.Password dumper,Password dumper (extract credential hashes),related-to,T1003.001,OS Credential Dumping: LSASS Memory,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
13,veris,1.4.0,action.malware,action.malware.variety.RAM scraper,RAM scraper or memory parser (capture data from volatile memory),related-to,T1003.001,OS Credential Dumping: LSASS Memory,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
14,veris,1.4.0,attribute.confidentiality,attribute.confidentiality.data_disclosure,,related-to,T1003.001,OS Credential Dumping: LSASS Memory,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
15,veris,1.4.0,action.malware,action.malware.variety.Capture stored data,Capture data stored on system disk,related-to,T1003.002,OS Credential Dumping: Security Account Manager,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
16,veris,1.4.0,action.malware,action.malware.variety.Password dumper,Password dumper (extract credential hashes),related-to,T1003.002,OS Credential Dumping: Security Account Manager,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
17,veris,1.4.0,action.malware,action.malware.variety.RAM scraper,RAM scraper or memory parser (capture data from volatile memory),related-to,T1003.002,OS Credential Dumping: Security Account Manager,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
18,veris,1.4.0,attribute.confidentiality,attribute.confidentiality.data_disclosure,,related-to,T1003.002,OS Credential Dumping: Security Account Manager,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
19,veris,1.4.0,action.malware,action.malware.variety.Capture stored data,Capture data stored on system disk,related-to,T1003.003,OS Credential Dumping: NTDS,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
20,veris,1.4.0,action.malware,action.malware.variety.Password dumper,Password dumper (extract credential hashes),related-to,T1003.003,OS Credential Dumping: NTDS,16.1,enterprise,,,,[],,,01/23/2025,01/23/2025
