,mapping_framework,mapping_framework_version,capability_group,capability_id,capability_description,mapping_type,attack_object_id,attack_object_name,attack_version,technology_domain,score_category,score_value,related_score,references,comments,organization,creation_date,last_update
0,veris,1.4.1,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1036.008,Masquerade File Type,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
1,veris,1.4.1,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1036.009,Break Process Trees,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
2,veris,1.4.1,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1036.001,Invalid Code Signature,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
3,veris,1.4.1,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1036.005,Match Legitimate Resource Name or Location,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
4,veris,1.4.1,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1036.006,Space after Filename,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
5,veris,1.4.1,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1036.007,Double File Extension,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
6,veris,1.4.1,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1036.010,Masquerade Account Name,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
7,veris,1.4.1,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1036,Masquerading,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
8,veris,1.4.1,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1036.004,Masquerade Task or Service,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
9,veris,1.4.1,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",related-to,T1036.003,Rename Legitimate Utilities,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
