,mapping_framework,mapping_framework_version,capability_group,capability_id,capability_description,mapping_type,tlctc_object_id,tlctc_object_name,tlctc_version,technology_domain,score_category,score_value,related_score,references,comments,organization,creation_date,last_update
0,veris,1.4.1,action.hacking,action.hacking.variety.Abuse of functionality,Abuse of functionality.,direct,#1,Abuse of Functions,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]",Designed functionality used beyond its intended purpose; no code flaw and no foreign code are required.,TLCTC Project,2026-09-18,2026-09-18
1,veris,1.4.1,action.hacking,action.hacking.variety.Backdoor,Hacking action that creates a backdoor for use.,conditional,#1,Abuse of Functions,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","condition: the backdoor is a designed function left open (account, service, scheduled task, configuration); VERIS records the persistence result; TLCTC classifies the act that created it: reuse of designed functions is #1, an installed implant is #7 at the moment it executes.",TLCTC Project,2026-09-18,2026-09-18
2,veris,1.4.1,action.hacking,action.hacking.variety.Backdoor,Hacking action that creates a backdoor for use.,conditional,#7,Malware,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-EXEC; condition: the backdoor is foreign executable content installed on the system; VERIS records the persistence result; TLCTC classifies the act that created it: reuse of designed functions is #1, an installed implant is #7 at the moment it executes.",TLCTC Project,2026-09-18,2026-09-18
3,veris,1.4.1,action.hacking,action.hacking.variety.Brute force,Brute force or password guessing attacks.,direct,#4,Identity Theft,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-CRED; Password guessing or credential stuffing is credential application: the attacker authenticates as an identity that is not their own (R-CRED, Axiom X).",TLCTC Project,2026-09-18,2026-09-18
4,veris,1.4.1,action.hacking,action.hacking.variety.Buffer overflow,Buffer overflow. Child of 'Exploit vuln'.,direct,#2,Exploiting Server,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-ROLE; role: server; A code flaw exploited in a server-role component of the victim's service (R-ROLE); the sub-technique names the flaw class, not a different generic vulnerability.",TLCTC Project,2026-09-18,2026-09-18
5,veris,1.4.1,action.hacking,action.hacking.variety.Cache poisoning,Cache poisoning. Child of 'Exploit vuln'.,direct,#1,Abuse of Functions,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","Poisoning a cache places attacker data where the cache's designed function will serve it as authoritative (#1, consistent with the CWE-349 mapping); no code flaw is exploited. For a resolver cache the poisoning gains position and an interception step (#5) may follow.",TLCTC Project,2026-09-18,2026-09-18
6,veris,1.4.1,action.hacking,action.hacking.variety.Cryptanalysis,Cryptanalysis. Child of 'Exploit vuln'.,direct,#5,Man in the Middle,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-CHANNEL; Breaking the cryptography that protects a channel is a defect in a communication-path control: the generic vulnerability is insufficient control over the communication path, #5 (R-CHANNEL). Where the broken cryptography protects stored data, the step is the one that obtained the ciphertext and the cryptanalysis is attacker-side preparation.",TLCTC Project,2026-09-18,2026-09-18
7,veris,1.4.1,action.hacking,action.hacking.variety.CSRF,Cross-site request forgery. Child of 'Exploit vuln'.,direct,#1,Abuse of Functions,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","A forged request makes the victim's browser invoke a legitimate function with the victim's own session; no code flaw is exploited, the designed function is abused (#1), consistent with the CWE-352 mapping.",TLCTC Project,2026-09-18,2026-09-18
8,veris,1.4.1,action.hacking,action.hacking.variety.Disable controls,Disable or interfere with security controls,direct,#1,Abuse of Functions,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]",Turning off or interfering with security controls uses administrative functions the attacker can already reach; the control failure that follows is not itself a threat (Axiom V).,TLCTC Project,2026-09-18,2026-09-18
9,veris,1.4.1,action.hacking,action.hacking.variety.DoS,Denial of service,conditional,#6,Flooding Attack,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-FLOOD; condition: volume or intensity exhausts finite resources; VERIS records the availability effect; TLCTC asks which generic vulnerability produced it (R-FLOOD): capacity is #6, a code defect is #2 or #3 per R-ROLE.",TLCTC Project,2026-09-18,2026-09-18
10,veris,1.4.1,action.hacking,action.hacking.variety.DoS,Denial of service,conditional,#2,Exploiting Server,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-FLOOD; condition: an implementation defect crashes or hangs a server-role component; VERIS records the availability effect; TLCTC asks which generic vulnerability produced it (R-FLOOD): capacity is #6, a code defect is #2 or #3 per R-ROLE.",TLCTC Project,2026-09-18,2026-09-18
11,veris,1.4.1,action.hacking,action.hacking.variety.DoS,Denial of service,conditional,#3,Exploiting Client,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-FLOOD; condition: an implementation defect crashes or hangs a client-role component; VERIS records the availability effect; TLCTC asks which generic vulnerability produced it (R-FLOOD): capacity is #6, a code defect is #2 or #3 per R-ROLE.",TLCTC Project,2026-09-18,2026-09-18
12,veris,1.4.1,action.hacking,action.hacking.variety.Evade Defenses,"Modification of the action (rather than the system, as in 'Disable controls') to avoid detection.",outcome,none,outcome (Axiom III),2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","A property of how a step was carried out, not a step: evasion has no generic vulnerability of its own and is recorded as a capability of the classified step.",TLCTC Project,2026-09-18,2026-09-18
13,veris,1.4.1,action.hacking,action.hacking.variety.Exploit misconfig,Exploit a misconfiguration (vs vuln or weakness),direct,#1,Abuse of Functions,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","A misconfiguration is a designed function in a permissive state; using it is function abuse, not exploitation of a code flaw.",TLCTC Project,2026-09-18,2026-09-18
14,veris,1.4.1,action.hacking,action.hacking.variety.Exploit vuln,"Exploit vulnerability in code (vs misconfig or weakness). This can be used with other hacking enumerations, (such as XSS when an XSS vuln exists.). Parent of many hacking varieties.",conditional,#2,Exploiting Server,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-ROLE; condition: the flawed component serves the attacker's request (server role); A code flaw was exploited; the cluster follows from the role of the flawed component relative to the attacker (R-ROLE), which VERIS does not record.",TLCTC Project,2026-09-18,2026-09-18
15,veris,1.4.1,action.hacking,action.hacking.variety.Exploit vuln,"Exploit vulnerability in code (vs misconfig or weakness). This can be used with other hacking enumerations, (such as XSS when an XSS vuln exists.). Parent of many hacking varieties.",conditional,#3,Exploiting Client,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-ROLE; condition: the flawed component consumes attacker-supplied content (client role); A code flaw was exploited; the cluster follows from the role of the flawed component relative to the attacker (R-ROLE), which VERIS does not record.",TLCTC Project,2026-09-18,2026-09-18
16,veris,1.4.1,action.hacking,action.hacking.variety.Forced browsing,Forced browsing or predictable resource location. Child of 'Exploit vuln'.,direct,#1,Abuse of Functions,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","Requesting a resource directly bypasses controls the interface merely implied; the server serves what it was designed to serve without checking authorisation, which is function abuse (#1, consistent with the CWE-425 mapping) rather than a code flaw, although VERIS files it under Exploit vuln.",TLCTC Project,2026-09-18,2026-09-18
17,veris,1.4.1,action.hacking,action.hacking.variety.Format string attack,Format string attack. Child of 'Exploit vuln'.,direct,#2,Exploiting Server,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-ROLE; role: server; A code flaw exploited in a server-role component of the victim's service (R-ROLE); the sub-technique names the flaw class, not a different generic vulnerability.",TLCTC Project,2026-09-18,2026-09-18
18,veris,1.4.1,action.hacking,action.hacking.variety.Fuzz testing,Fuzz testing. Child of 'Exploit vuln'.,direct,#2,Exploiting Server,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-ROLE; role: server; A code flaw exploited in a server-role component of the victim's service (R-ROLE); the sub-technique names the flaw class, not a different generic vulnerability.",TLCTC Project,2026-09-18,2026-09-18
19,veris,1.4.1,action.hacking,action.hacking.variety.Hijack,To assume control over and steal functionality for an illicit purpose (e.g. Hijacking phone number intercept SMS verification codes),chain,#1,Abuse of Functions,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","companion after: #5 (interception of the diverted channel, R-MITM) or #4 (authentication with intercepted codes, R-CRED); notation: #1 → #5 | #1 → #4; Taking over a function such as a phone number, a domain or a route uses the provider's designed processes: #1, with no code flaw. The takeover is position acquisition; what follows is a separate step: #5 for interception from the diverted channel (R-MITM) or #4 where intercepted codes are presented as another identity (R-CRED).",TLCTC Project,2026-09-18,2026-09-18
20,veris,1.4.1,action.hacking,action.hacking.variety.HTTP request smuggling,HTTP request smuggling. Child of 'Exploit vuln'.,direct,#2,Exploiting Server,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-ROLE; role: server; A code flaw exploited in a server-role component of the victim's service (R-ROLE); the sub-technique names the flaw class, not a different generic vulnerability.",TLCTC Project,2026-09-18,2026-09-18
21,veris,1.4.1,action.hacking,action.hacking.variety.HTTP request splitting,HTTP request splitting. Child of 'Exploit vuln'.,direct,#2,Exploiting Server,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-ROLE; role: server; A code flaw exploited in a server-role component of the victim's service (R-ROLE); the sub-technique names the flaw class, not a different generic vulnerability.",TLCTC Project,2026-09-18,2026-09-18
22,veris,1.4.1,action.hacking,action.hacking.variety.HTTP response smuggling,HTTP response smuggling. Child of 'Exploit vuln'.,direct,#2,Exploiting Server,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-ROLE; role: server; A code flaw exploited in a server-role component of the victim's service (R-ROLE); the sub-technique names the flaw class, not a different generic vulnerability.",TLCTC Project,2026-09-18,2026-09-18
23,veris,1.4.1,action.hacking,action.hacking.variety.HTTP response splitting,HTTP response splitting. Child of 'Exploit vuln'.,direct,#2,Exploiting Server,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-ROLE; role: server; A code flaw exploited in a server-role component of the victim's service (R-ROLE); the sub-technique names the flaw class, not a different generic vulnerability.",TLCTC Project,2026-09-18,2026-09-18
24,veris,1.4.1,action.hacking,action.hacking.variety.Insecure deserialization,iterating over sequential or obvious values. https://www.owasp.org/index.php/Top_10-2017_A8-Insecure_Deserialization. Child of 'Exploit vuln'.,chain,#2,Exploiting Server,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-ROLE; role: server; companion after: #7 (the gadget chain executes attacker-controlled code, R-EXEC); notation: #2 → #7; Deserialising attacker-controlled bytes in a server-role component is a code flaw (#2, R-ROLE); the gadget chain it triggers executes attacker-controlled code, a #7 step at execution (R-EXEC), as in the CWE-502 mapping.",TLCTC Project,2026-09-18,2026-09-18
25,veris,1.4.1,action.hacking,action.hacking.variety.Integer overflows,Integer overflows. Child of 'Exploit vuln'.,direct,#2,Exploiting Server,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-ROLE; role: server; A code flaw exploited in a server-role component of the victim's service (R-ROLE); the sub-technique names the flaw class, not a different generic vulnerability.",TLCTC Project,2026-09-18,2026-09-18
26,veris,1.4.1,action.hacking,action.hacking.variety.LDAP injection,LDAP injection. Child of 'Exploit vuln'.,direct,#2,Exploiting Server,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-ROLE; role: server; A code flaw exploited in a server-role component of the victim's service (R-ROLE); the sub-technique names the flaw class, not a different generic vulnerability.",TLCTC Project,2026-09-18,2026-09-18
27,veris,1.4.1,action.hacking,action.hacking.variety.Mail command injection,Mail command injection. Child of 'Exploit vuln'.,direct,#2,Exploiting Server,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-ROLE; role: server; A code flaw exploited in a server-role component of the victim's service (R-ROLE); the sub-technique names the flaw class, not a different generic vulnerability.",TLCTC Project,2026-09-18,2026-09-18
28,veris,1.4.1,action.hacking,action.hacking.variety.AitM,Adversary-in-the-middle attack. Child of 'Exploit vuln'.,chain,#5,Man in the Middle,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-MITM; companion before: the position-acquiring cluster (#1, #2, #4, #9 or #7); notation: <position acquisition> → #5; Interception or relay from an on-path position is #5 once the position exists; gaining the position is a separate earlier step (R-MITM).",TLCTC Project,2026-09-18,2026-09-18
29,veris,1.4.1,action.hacking,action.hacking.variety.Null byte injection,Null byte injection. Child of 'Exploit vuln'.,direct,#2,Exploiting Server,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-ROLE; role: server; A code flaw exploited in a server-role component of the victim's service (R-ROLE); the sub-technique names the flaw class, not a different generic vulnerability.",TLCTC Project,2026-09-18,2026-09-18
30,veris,1.4.1,action.hacking,action.hacking.variety.Offline cracking,"Offline password or key cracking (e.g., rainbow tables, Hashcat, JtR)",chain,#4,Identity Theft,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-CRED; companion before: the cluster that yielded the hashes or key material (#2, #7, #1 or #8); notation: <hash acquisition> → #4; Cracking is attacker-side preparation; the recorded step is the later authentication with the recovered credential (#4), with the step that exposed the hashes before it (Axiom X).",TLCTC Project,2026-09-18,2026-09-18
31,veris,1.4.1,action.hacking,action.hacking.variety.OS commanding,OS commanding. Child of 'Exploit vuln'.,direct,#2,Exploiting Server,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-ROLE; role: server; A code flaw exploited in a server-role component of the victim's service (R-ROLE); the sub-technique names the flaw class, not a different generic vulnerability.",TLCTC Project,2026-09-18,2026-09-18
32,veris,1.4.1,action.hacking,action.hacking.variety.Pass-the-hash,Pass-the-hash,chain,#4,Identity Theft,2.5,all,,,,"[""https://www.tlctc.net"",""https://github.com/Barnes70/TLCTC/tree/main/mappings/veris"",""https://doi.org/10.5281/zenodo.20633176""]","R-CRED; companion before: the acquiring cluster (#9, #7, #3, #2, #10, #8 or #5); notation: <acquisition> → #4; Presenting a captured hash authenticates as another identity: credential application is #4 whatever the acquisition (R-CRED); the capture is a separate earlier step.",TLCTC Project,2026-09-18,2026-09-18
